panel_or_contrast,outcome,metric,horizon,lower,upper,valid_replicates,undefined_replicates,interpretation
clinical,hematologic_cancer,brier,15,0.0006580373005888644,0.011653536988516103,1000,0,conditional_fixed_models
clinical,hematologic_cancer,auc,15,0.41360714487103606,0.8742726296584521,1000,0,conditional_fixed_models
clinical,hematologic_cancer,mean_bias_pp,15,-0.617319618542186,0.4991520027193311,1000,0,conditional_fixed_models
clinical,infection,brier,15,0.00248890079571142,0.018295002711118502,1000,0,conditional_fixed_models
clinical,infection,auc,15,0.7009241518013589,0.9302616796158404,1000,0,conditional_fixed_models
clinical,infection,mean_bias_pp,15,-1.3360789450847874,0.30771413709259554,1000,0,conditional_fixed_models
clinical,external,brier,15,0.004351518632130347,0.018463919263166175,1000,0,conditional_fixed_models
clinical,external,auc,15,0.24370959080810428,0.6080159466817026,1000,0,conditional_fixed_models
clinical,external,mean_bias_pp,15,-1.1763888954602684,0.27369757643222126,1000,0,conditional_fixed_models
clinical,other_or_unresolved,brier,15,0.024335734900002425,0.058299865775334,1000,0,conditional_fixed_models
clinical,other_or_unresolved,auc,15,0.725540354704607,0.8255059288708674,1000,0,conditional_fixed_models
clinical,other_or_unresolved,mean_bias_pp,15,-1.8528397870188253,2.129563924582714,1000,0,conditional_fixed_models
laboratory,multistate,brier,15,0.24616403411347873,0.33633627401286664,1000,0,conditional_fixed_models
laboratory,all_cause,brier,15,0.09599842960515612,0.13380314739233365,1000,0,conditional_fixed_models
laboratory,all_cause,auc,15,0.8030405088606032,0.8734192922911367,1000,0,conditional_fixed_models
laboratory,all_cause,mean_bias_pp,15,-3.2228233587661492,2.9412553183053376,1000,0,conditional_fixed_models
laboratory,ihd,brier,15,0.03677657239999568,0.061545102123161374,1000,0,conditional_fixed_models
laboratory,ihd,auc,15,0.7511971599547788,0.8918282044120514,1000,0,conditional_fixed_models
laboratory,ihd,mean_bias_pp,15,-1.2557654324630105,1.160813815145209,1000,0,conditional_fixed_models
laboratory,heart_failure,brier,15,0.0007495481388377575,0.006687473276668196,1000,0,conditional_fixed_models
laboratory,heart_failure,auc,15,0.4210865677783097,0.886142807990511,1000,0,conditional_fixed_models
laboratory,heart_failure,mean_bias_pp,15,-0.2708514683040158,0.3420086455742526,1000,0,conditional_fixed_models
laboratory,stroke,brier,15,0.003987858233555965,0.01499550315392927,1000,0,conditional_fixed_models
laboratory,stroke,auc,15,0.7389447508405576,0.9278341364171147,1000,0,conditional_fixed_models
laboratory,stroke,mean_bias_pp,15,-0.22230544857025236,1.0860000327443866,1000,0,conditional_fixed_models
laboratory,hypertension,brier,15,6.393614795912682e-05,0.0036638263302507267,1000,0,conditional_fixed_models
laboratory,hypertension,auc,15,0.7874020806077043,0.9712678540001989,883,117,defined_draws_only_not_nominal_95pct
laboratory,hypertension,mean_bias_pp,15,0.20247670691027075,0.570808397568356,1000,0,conditional_fixed_models
laboratory,aortic_aneurysm,brier,15,4.551547318802912e-06,0.009861013188593734,1000,0,conditional_fixed_models
laboratory,aortic_aneurysm,auc,15,0.7913689028082193,0.9579417006451851,877,123,defined_draws_only_not_nominal_95pct
laboratory,aortic_aneurysm,mean_bias_pp,15,-0.8433824487124674,0.15401927553516598,1000,0,conditional_fixed_models
laboratory,chronic_respiratory,brier,15,0.000931103460186103,0.00457049584646907,1000,0,conditional_fixed_models
laboratory,chronic_respiratory,auc,15,0.7711164027763143,0.9111573339720781,1000,0,conditional_fixed_models
laboratory,chronic_respiratory,mean_bias_pp,15,0.06409911120021851,0.4519711503703516,1000,0,conditional_fixed_models
laboratory,dementia,brier,15,1.8625739801634062e-06,0.005156069868843943,1000,0,conditional_fixed_models
laboratory,dementia,auc,15,0.773684365359189,0.9184588433982178,740,260,defined_draws_only_not_nominal_95pct
laboratory,dementia,mean_bias_pp,15,-0.42282537949770055,0.10295230928892617,1000,0,conditional_fixed_models
laboratory,diabetes,brier,15,1.9099330548553777e-05,0.015955197573411267,1000,0,conditional_fixed_models
laboratory,diabetes,auc,15,0.7530465976567216,0.999063204202554,972,28,defined_draws_only_not_nominal_95pct
laboratory,diabetes,mean_bias_pp,15,-1.3231318709327293,0.2816496942911006,1000,0,conditional_fixed_models
laboratory,renal,brier,15,2.5392508915296686e-06,0.001964553946158205,1000,0,conditional_fixed_models
laboratory,renal,auc,15,0.8824481169499826,0.9988026792622517,796,204,defined_draws_only_not_nominal_95pct
laboratory,renal,mean_bias_pp,15,-0.07743761513597476,0.12323928345870273,1000,0,conditional_fixed_models
laboratory,chronic_liver,brier,15,6.6707213580382885e-06,0.012831002729707256,1000,0,conditional_fixed_models
laboratory,chronic_liver,auc,15,0.7633943361831524,0.9645134112607922,904,96,defined_draws_only_not_nominal_95pct
laboratory,chronic_liver,mean_bias_pp,15,-1.1262614951219554,0.17730609121965563,1000,0,conditional_fixed_models
laboratory,lung_cancer,brier,15,0.0029869157111363912,0.01859034505103886,1000,0,conditional_fixed_models
laboratory,lung_cancer,auc,15,0.48466055451784495,0.7891355146044767,1000,0,conditional_fixed_models
laboratory,lung_cancer,mean_bias_pp,15,-0.7279321131877293,0.9262054478997016,1000,0,conditional_fixed_models
