study,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
secondary_hepatic_smoking,clinical,15,982,other_or_unresolved,0.040952673963848406,0.774029043980236,0.04475738731778737,0.04703545503299441,0.9515670101711778,0.2278067715207041,59.0
secondary_hepatic_smoking,laboratory,15,982,multistate,0.29462236219140064,,,,,,
secondary_hepatic_smoking,laboratory,15,982,all_cause,0.11569591009926168,0.8350559129659212,0.19309638505901927,0.19185487982572894,1.006471064141908,-0.12415052332903354,262.0
secondary_hepatic_smoking,laboratory,15,982,ihd,0.0499860829855781,0.815466877943239,0.05896240761077519,0.057685711810595786,1.022131924182045,-0.12766958001794032,76.0
secondary_hepatic_smoking,laboratory,15,982,heart_failure,0.0035622344463711927,0.6902836117842361,0.0035678891961638455,0.00410424745232351,0.8693162967413137,0.05363582561596649,6.0
secondary_hepatic_smoking,laboratory,15,982,stroke,0.009229999666024972,0.8437510211929206,0.009530230554001267,0.014264269749041705,0.6681190640440267,0.47340391950404376,24.0
secondary_hepatic_smoking,laboratory,15,982,hypertension,0.0018155807041970575,0.8790946653063767,0.0017968617562484275,0.005658641209831332,0.3175429735899419,0.3861779453582904,3.0
secondary_hepatic_smoking,laboratory,15,982,aortic_aneurysm,0.004727392476707438,0.8698626493023865,0.004756768704935669,0.0015145501818996847,3.1407138315940792,-0.3242218523035984,3.0
secondary_hepatic_smoking,laboratory,15,982,chronic_respiratory,0.0028390147357335157,0.8745416063949446,0.0028568946355751377,0.005398479486595521,0.5292035734633864,0.25415848510203837,7.0
secondary_hepatic_smoking,laboratory,15,982,dementia,0.0021381028988337156,0.8168367626221189,0.0021439109842251404,0.0009932232785226102,2.1585388004740924,-0.11506877057025301,2.0
secondary_hepatic_smoking,laboratory,15,982,diabetes,0.00708127534179655,0.846169275533308,0.007155910957604826,0.002973136497516722,2.40685584519302,-0.41827744600881034,6.0
secondary_hepatic_smoking,laboratory,15,982,renal,0.0007006106863000592,0.9219646089871918,0.0007028379854899933,0.001197310821431649,0.5870138087030697,0.04944728359416558,2.0
secondary_hepatic_smoking,laboratory,15,982,chronic_liver,0.005044239930054378,0.8459089342419837,0.005078435534727723,0.0017190982407970861,2.9541275851536146,-0.3359337293930637,3.0
secondary_hepatic_smoking,laboratory,15,982,lung_cancer,0.010110143267645425,0.6520921395985794,0.010092253460605216,0.011619286336559512,0.868577739482195,0.15270328759542962,15.0
secondary_hepatic_smoking,laboratory,15,982,colorectal_cancer,0.005390604932220485,0.8181094912159412,0.005513492768755082,0.006915434378574242,0.7972735285924007,0.14019416098191598,9.0
secondary_hepatic_smoking,laboratory,15,982,pancreatic_cancer,0.002625772549242055,0.5807725365270731,0.0026145337231688174,0.0036589298280542836,0.714562411971468,0.10443961048854661,5.0
secondary_hepatic_smoking,laboratory,15,982,breast_cancer,0.001932031509133648,0.8720611550208818,0.0019425963791410304,0.0036374409013279077,0.5340557913757041,0.16948445221868774,3.0
secondary_hepatic_smoking,laboratory,15,982,prostate_cancer,0.0016022595725555574,0.9364398329765887,0.0016058498839818592,0.003910915557577388,0.4106071482086923,0.23050656735955286,4.0
secondary_hepatic_smoking,laboratory,15,982,gastric_cancer,0.0025226347883049362,0.7557916631310251,0.002530029130713591,0.002141317300743629,1.1815292996675324,-0.038871182996996205,4.0
secondary_hepatic_smoking,laboratory,15,982,hematologic_cancer,0.0057550511323618166,0.7960898916846398,0.00582883044133191,0.0056365841476400304,1.034106879034596,-0.019224629369187993,5.0
secondary_hepatic_smoking,laboratory,15,982,infection,0.009897146063685549,0.83757792144707,0.010096316595408598,0.005528859956643224,1.826111834009709,-0.4567456638765374,11.0
secondary_hepatic_smoking,laboratory,15,982,external,0.011514014476705223,0.4596748675410543,0.011562947438378553,0.006885959913629836,1.6792063246681477,-0.46769875247487164,15.0
secondary_hepatic_smoking,laboratory,15,982,other_or_unresolved,0.04045225992868726,0.8010398367294626,0.04475738731778737,0.04641148277642322,0.9643602108856534,0.16540954586358528,59.0
