model,horizon_years,n,events,weighted_observed,weighted_predicted,observed_expected,auc,brier,calibration_intercept,calibration_slope,calibration_in_the_large_logit,diagnostic_fit_success
M0c_clinical_only_posthoc,10,2384,395,0.11506015719576836,0.12947822408214216,0.8886448513749552,0.8353918951509638,0.08219646669702435,-0.028949382764147928,1.094127162281843,-0.16503516274870528,True
M1_routine,10,2384,395,0.11506015719576836,0.13513022602241662,0.8514760951904361,0.8622708028804215,0.07749975174734737,-0.16195406552016872,1.0586718672627353,-0.2433476613594484,True
M4_cystatinC,10,2384,395,0.11506015719576836,0.132666645277662,0.8672877568808309,0.8715652965094911,0.07453708179006624,-0.10717181040276925,1.0806480696928689,-0.22013876207580288,True
