metric,p025,p975,replicates,status
auc_clinical,0.8079109480091792,0.8637816037072695,300,post_hoc_conditional_validation_PSU_resampling
delta_auc_routine_minus_clinical,0.013064965690223359,0.038092348054223846,300,post_hoc_conditional_validation_PSU_resampling
delta_brier_routine_minus_clinical,-0.006486777993257736,-0.0027017532701014185,300,post_hoc_conditional_validation_PSU_resampling
delta_auc_expanded_minus_routine,-0.0015882435851475307,0.019696379664573528,300,post_hoc_conditional_validation_PSU_resampling
