model,horizon_years,n,events,weighted_observed,weighted_predicted,observed_expected,auc,brier,calibration_intercept,calibration_slope,calibration_in_the_large_logit,diagnostic_fit_success
M0_age_sex,1,2384,33,0.008949670414817208,0.005495934570409622,1.6284164777002017,0.7924287708053115,0.008800558665705715,0.8363503516231693,1.0720477308375485,0.4953969198190124,True
M0_age_sex,5,2384,188,0.05116816654126418,0.05014447576795202,1.020414826511486,0.7760383790810916,0.04585886344816275,0.09040719053011485,1.0267624641642707,0.02261810442479277,True
M0_age_sex,10,2384,395,0.11506015719576836,0.129037388052299,0.8916807673535235,0.7881723137869784,0.0895170969305343,-0.08714027763994657,1.0406923127175594,-0.15005053120274084,True
M1_routine,1,2384,33,0.008949670414817208,0.006039738014204666,1.4817977855610236,0.8610836649514968,0.008601643957064368,0.5589114960792011,1.0347980464719857,0.41271028529277987,True
M1_routine,5,2384,188,0.05116816654126418,0.053244136879509844,0.961010348558311,0.8594552887286542,0.04119086230245979,0.05841286774108854,1.0483648487872217,-0.050133724465284114,True
M1_routine,10,2384,395,0.11506015719576836,0.13513022602241662,0.8514760951904361,0.8622708028804215,0.07749975174734737,-0.16195406552016872,1.0586718672627353,-0.2433476613594484,True
M2_NTproBNP,1,2384,33,0.008949670414817208,0.005837527758051603,1.533126827957791,0.8676033818023332,0.008605862176310857,0.6673703536276727,1.0519475289294726,0.4481571841169795,True
M2_NTproBNP,5,2384,188,0.05116816654126418,0.0519345564041802,0.9852431614713024,0.8600551824953472,0.04095316984350087,0.10660516598022272,1.055411291701426,-0.018691948881927142,True
M2_NTproBNP,10,2384,395,0.11506015719576836,0.1331330426972161,0.8642494369895021,0.8641842834974642,0.07691792913861452,-0.12054336654519981,1.0720833454451089,-0.2213948758298269,True
M3_troponin,1,2384,33,0.008949670414817208,0.006102832616221841,1.4664781057616154,0.8745607892003959,0.008552139665106321,0.6496937337655391,1.0597998774580237,0.4027752764979878,True
M3_troponin,5,2384,188,0.05116816654126418,0.05428442263420784,0.9425939166021465,0.8671532828551446,0.04020335368863605,0.07467514779042231,1.068756194589317,-0.0755283579520557,True
M3_troponin,10,2384,395,0.11506015719576836,0.1394089752584983,0.8253425361058621,0.8694536594376334,0.07541636102122933,-0.20167646334468375,1.0719664317812216,-0.2972489198886522,True
M4_cystatinC,1,2384,33,0.008949670414817208,0.005738620634654828,1.559550802290579,0.866714289442345,0.008597362347257864,0.4155231853736646,0.9873320458703991,0.4689920638080488,True
M4_cystatinC,5,2384,188,0.05116816654126418,0.05122911955342099,0.9988101881764091,0.8677471009294051,0.04043806372389953,0.10730132916462602,1.048112015196624,-0.0015280080130740722,True
M4_cystatinC,10,2384,395,0.11506015719576836,0.132666645277662,0.8672877568808309,0.8715652965094911,0.07453708179006624,-0.10717181040276925,1.0806480696928689,-0.22013876207580288,True
