extended,base,metric,p025,p975,replicates,type
M1_routine,M0c_clinical_only_posthoc,delta_auc,0.012853827538074564,0.03863626663375406,300,conditional_validation_PSU_percentiles_excludes_training_and_selection
M1_routine,M0c_clinical_only_posthoc,delta_brier,-0.006546322016767603,-0.0026983269875305105,300,conditional_validation_PSU_percentiles_excludes_training_and_selection
M4_cystatinC,M1_routine,delta_auc,-0.0013696624742232904,0.019254048788835815,300,conditional_validation_PSU_percentiles_excludes_training_and_selection
M4_cystatinC,M1_routine,delta_brier,-0.005995244104566896,-0.00016301197095033377,300,conditional_validation_PSU_percentiles_excludes_training_and_selection
